,date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
1377451,2021-11-15,US_KS_20039,,,3.0,1060.0,,,,,,,,,,,,,,,,,,,,,,,,,,
657019,2021-01-20,IL_Z_8800,249.0,7445.0,386.0,2232.0,635.0,9677.0,,,,,,,,,,,,,,,,,,,,,,,,
13759,2022-03-19,AR_B_035,13.0,145936.0,34.0,135580.0,47.0,281516.0,,,,,,,,,,,,,,,,,,,,,,,,
214522,2021-03-10,AR_X_014,2067.0,39436.0,250.0,6604.0,2317.0,46040.0,,,,,,,,,,,,,,,,,,,,,,,,
1267687,2022-06-19,US_ID_16077,,,0.0,4034.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1384038,2022-04-29,US_KS_20065,,,0.0,1226.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1435748,2021-08-08,US_KY_21063,,,0.0,1911.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1582323,2022-03-20,US_MN,64.0,4206961.0,33.0,3868865.0,89.0,9980482.0,,,21.0,2245830.0,56.0,6006295.0,,,8.0,1294353.0,32.0,3614693.0,,,4.0,327114.0,1.0,355165.0,,,,,,
167111,2021-06-24,AR_Q_007,18.0,1773.0,0.0,364.0,18.0,2137.0,,,,,,,,,,,,,,,,,,,,,,,,
2479396,2022-04-08,US_WI_55049,,,0.0,16273.0,,,,,,,,,,,,,,,,,,,,,,,,,,
730278,2021-04-26,PL_04_15,0.0,,0.0,3618.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1099349,2021-06-29,US_FL_12073,,,111.0,119485.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1968805,2021-09-09,US_OH_39073,,,15.0,10993.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1080676,2022-01-17,US_DE_10003,,,0.0,364758.0,,,,,,,,,,,,,,,,,,,,,,,,,,
267125,2022-01-13,BR_PE,429.0,7313191.0,8193.0,6210917.0,8622.0,13524108.0,,,,,,,,,,,,,,,,,,,,,,,,
1226887,2021-12-13,US_IA_19113,,,9.0,141572.0,,,,,,,,,,,,,,,,,,,,,,,,,,
451811,2020-05-17,IL_HA_0652,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2371931,2021-08-10,US_UT_49057,,,0.0,108312.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1117119,2022-07-10,US_GA_13005,,,0.0,3440.0,,,,,,,,,,,,,,,,,,,,,,,,,,
